Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
239,44.5,1000,1.2063
240,44.5,1000,1.2063
241,45.1,1000,1.2063
242,45.6,1000,1.2063
243,45.6,1000,1.2063
244,45.1,1000,1.2063
245,45.1,1000,1.2063
246,45.1,1000,1.2063
247,45.6,1000,1.2063
248,45.6,1000,1.2063
249,45.6,1000,1.2063
251,45.6,1000,1.2063
252,45.1,1000,1.2063
253,45.6,1000,1.2063
254,45.6,1000,1.2063
255,45.6,1000,1.2063
256,45.1,1000,1.2063
257,45.1,1000,1.2063
258,45.1,1000,1.2063
259,46.2,1000,1.2063
260,45.6,1000,1.2063
261,45.6,1000,1.2063
262,45.6,1000,1.2063
263,46.2,1000,1.2063
264,46.2,1000,1.2063
265,45.6,1000,1.2063
266,45.6,1000,1.2063
267,45.6,1000,1.2063
268,45.6,1000,1.2063
269,45.6,1000,1.2063
271,46.2,1000,1.2063
272,46.2,1000,1.2063
273,46.2,1000,1.2063
274,46.2,1000,1.2063
275,46.2,1000,1.2063
276,46.2,1000,1.2063
277,46.2,1000,1.2063
278,46.2,1000,1.2063
279,46.2,1000,1.2063
280,46.7,1000,1.2063
281,46.2,1000,1.2063
282,46.2,999,1.2063
283,46.2,1000,1.2063
284,46.7,1000,1.2063
285,46.2,1000,1.2063
286,46.7,1000,1.2063
287,46.2,1000,1.2063
288,46.7,1000,1.2063
289,46.7,1000,1.2063
290,46.2,1000,1.2063
292,46.7,999,1.2063
293,46.2,1000,1.2063
294,46.2,1000,1.2063
295,46.7,1000,1.2063
296,46.2,1000,1.2063
297,46.2,1000,1.2063
298,46.7,1000,1.2063
299,47.2,1000,1.2063
300,46.2,1000,1.2063
301,46.7,999,1.2063
302,47.2,1000,1.2063
303,46.7,1000,1.2063
304,46.7,1000,1.2063
305,46.7,1000,1.2063
306,46.2,1000,1.2063
307,46.7,1000,1.2063
308,46.7,1000,1.2063
309,47.2,1000,1.2063
310,46.7,1000,1.2063
312,46.7,1000,1.2063
313,47.2,1000,1.2063
314,46.7,1000,1.2063
315,47.8,1000,1.2063
316,47.2,1000,1.2063
317,47.2,1000,1.2063
318,47.2,1000,1.2063
319,47.2,1000,1.2063
320,47.2,1000,1.2063
321,47.2,1000,1.2063
322,46.7,1000,1.2063
323,47.8,1000,1.2063
324,47.2,1000,1.2063
325,47.2,1000,1.2063
326,47.2,1000,1.2063
327,47.2,1000,1.2063
328,47.2,1000,1.2063
329,47.2,1000,1.2063
330,47.2,1000,1.2063
331,47.8,1000,1.2063
333,47.8,1000,1.2063
334,47.2,1000,1.2063
335,47.2,1000,1.2063
336,47.2,1000,1.2063
337,47.8,1000,1.2063
338,47.2,1000,1.2063
339,47.2,1000,1.2063
340,47.2,1000,1.2063
341,47.2,1000,1.2063
342,47.2,1000,1.2063
343,47.2,1000,1.2063
344,47.8,1000,1.2063
345,48.3,1000,1.2063
346,47.2,1000,1.2063
347,47.8,1000,1.2063
348,47.2,1000,1.2063
