Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
0,37.6,1000,1.2063
1,37.6,600,1.2
2,37.6,600,1.2
3,37.6,600,1.2
4,38.1,600,1.2
5,38.1,599,1.2
6,38.1,600,1.2
7,37.6,600,1.2
8,37.6,600,1.2
9,37.6,600,1.2
10,37.6,600,1.2
12,37.6,600,1.2
13,37.6,600,1.2063
14,38.1,600,1.2
15,37.6,600,1.2
16,37.6,600,1.2
17,37.6,600,1.2
18,37.6,600,1.2
19,38.1,600,1.2
20,37.6,600,1.2063
21,38.1,600,1.2
22,38.1,600,1.2
23,38.1,600,1.2
24,38.6,600,1.2
25,38.1,600,1.2
26,38.6,600,1.2
27,38.1,600,1.2
28,38.1,600,1.2
29,38.1,600,1.2063
30,38.1,600,1.2
31,38.1,599,1.2
32,38.1,600,1.2
33,38.1,600,1.2
34,38.6,600,1.2
36,38.1,600,1.2
37,38.6,600,1.2
38,38.1,600,1.2
39,38.1,599,1.2
40,38.6,600,1.2
41,38.1,600,1.2
42,37.6,600,1.2
43,38.6,600,1.2
44,37.6,600,1.2
45,38.1,600,1.2
46,38.6,600,1.2063
47,38.1,600,1.2063
48,38.6,600,1.2
49,38.1,600,1.2
50,38.1,600,1.2
51,38.1,600,1.2
52,38.1,600,1.2
53,38.6,600,1.2
54,38.6,600,1.2
55,38.6,600,1.2
56,38.1,600,1.2063
57,38.6,600,1.2
59,38.6,600,1.2
60,39.2,1000,1.2063
61,38.6,600,1.2
62,38.6,600,1.2
63,38.6,600,1.2
64,38.6,600,1.2
65,38.6,600,1.2063
66,38.6,600,1.2063
67,38.6,600,1.2
68,38.6,599,1.2
69,38.6,600,1.2
70,38.6,600,1.2063
71,38.6,600,1.2
72,38.6,600,1.2
73,38.6,600,1.2
74,38.6,599,1.2
75,38.1,600,1.2
76,38.6,600,1.2
77,38.6,600,1.2
78,38.6,600,1.2063
79,38.6,600,1.2
80,39.2,600,1.2
81,39.2,700,1.2063
83,38.6,600,1.2
84,41.9,1000,1.2063
85,43.5,1000,1.2063
86,45.1,1000,1.2063
87,45.1,1000,1.2063
88,45.6,1000,1.2063
89,46.2,1000,1.2063
90,46.2,1000,1.2063
91,47.2,1000,1.2063
92,47.8,1000,1.2063
93,47.8,1000,1.2063
94,48.3,1000,1.2063
95,48.3,1000,1.2063
96,48.9,1000,1.2063
97,49.4,1000,1.2063
98,48.9,1000,1.2063
99,49.4,1000,1.2063
100,49.4,1000,1.2063
101,49.9,1000,1.2063
102,50.5,1000,1.2063
103,50.5,1000,1.2063
105,49.9,1000,1.2063
106,50.5,1000,1.2063
107,50.5,1000,1.2063
108,51.5,1000,1.2063
109,51.5,1000,1.2063
110,51.5,1000,1.2063
111,51.5,1000,1.2063
112,52.1,1000,1.2063
113,52.1,1000,1.2063
114,52.1,1000,1.2063
115,52.1,1000,1.2063
116,53.2,1000,1.2063
117,53.2,1000,1.2063
118,53.2,1000,1.2063
