Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
0,34.7,999,1.4
1,34.2,700,1.2
2,34.7,1000,1.4
3,35.8,1000,1.4
5,35.8,1000,1.4
6,36.9,1000,1.4
7,36.3,1000,1.4
8,36.9,1000,1.4
9,37.4,1000,1.4
10,37.9,1000,1.4
12,37.4,1000,1.4
13,37.9,1000,1.4
14,37.9,1000,1.4
15,37.9,1000,1.4
16,37.9,1000,1.4
17,38.5,1000,1.4
18,38.5,1000,1.4
20,39.0,1000,1.4
21,38.5,1000,1.4
22,39.0,1000,1.4
23,39.0,1000,1.4
24,39.0,1000,1.4
25,39.0,1000,1.4
27,39.5,1000,1.4
28,39.0,1000,1.4
29,39.5,1000,1.4
30,39.5,1000,1.4
31,40.1,1000,1.4
32,40.1,1000,1.4
34,40.1,1000,1.4
35,40.1,1000,1.4
36,40.1,1000,1.4
37,39.5,1000,1.4
38,40.1,1000,1.4
39,40.1,1000,1.4
41,40.1,999,1.4
42,40.6,1000,1.4
43,40.1,1000,1.4
44,40.6,1000,1.4
45,40.6,1000,1.4
46,40.6,1000,1.4
47,40.6,1000,1.4
49,40.6,1000,1.4
50,40.1,1000,1.4
51,40.6,1000,1.4
52,41.2,1000,1.4
53,39.5,700,1.4
54,39.5,700,1.4
