Elapsed Time (s),Temperature (°C),Clock Speed (MHz),Voltage Core (V)
288,44.4,1000,1.4
290,44.4,999,1.4
291,44.4,1000,1.4
292,44.4,999,1.4
293,44.9,1000,1.4
294,44.9,1000,1.4
295,44.9,1000,1.4
297,44.9,1000,1.4
298,44.9,999,1.4
299,44.9,1000,1.4
300,44.4,1000,1.4
301,45.5,1000,1.4
302,44.4,1000,1.4
303,44.9,1000,1.4
305,44.4,1000,1.4
306,44.4,1000,1.4
307,44.9,999,1.4
308,44.9,1000,1.4
309,45.5,1000,1.4
310,44.9,1000,1.4
312,45.5,1000,1.4
313,44.9,1000,1.4
314,44.9,1000,1.4
315,45.5,1000,1.4
316,45.5,1000,1.4
317,44.9,1000,1.4
319,45.5,999,1.4
320,45.5,1000,1.4
321,44.9,1000,1.4
322,45.5,1000,1.4
323,44.9,1000,1.4
324,44.4,1000,1.4
325,45.5,1000,1.4
327,45.5,1000,1.4
328,45.5,1000,1.4
329,45.5,1000,1.4
330,45.5,1000,1.4
331,45.5,1000,1.4
332,45.5,1000,1.4
334,45.5,1000,1.4
335,45.5,1000,1.4
336,45.5,1000,1.4
337,46.0,1000,1.4
338,45.5,1000,1.4
339,45.5,1000,1.4
341,45.5,999,1.4
342,45.5,1000,1.4
343,45.5,1000,1.4
344,45.5,1000,1.4
345,45.5,999,1.4
346,45.5,1000,1.4
347,44.9,1000,1.4
349,45.5,1000,1.4
350,45.5,1000,1.4
351,45.5,1000,1.4
352,45.5,1000,1.4
353,45.5,1000,1.4
354,45.5,1000,1.4
356,45.5,1000,1.4
357,45.5,1000,1.4
358,45.5,1000,1.4
359,45.5,999,1.4
360,46.0,1000,1.4
361,45.5,999,1.4
363,45.5,1000,1.4
364,46.0,1000,1.4
365,45.5,1000,1.4
366,45.5,1000,1.4
367,46.0,1000,1.4
368,45.5,1000,1.4
369,46.0,1000,1.4
371,45.5,1000,1.4
372,46.5,1000,1.4
373,46.0,1000,1.4
374,45.5,999,1.4
375,45.5,1000,1.4
376,45.5,1000,1.4
378,46.5,1000,1.4
379,46.5,999,1.4
380,45.5,1000,1.4
381,45.5,1000,1.4
382,45.5,1000,1.4
383,46.5,1000,1.4
385,45.5,1000,1.4
386,45.5,999,1.4
387,45.5,1000,1.4
388,45.5,1000,1.4
389,46.5,1000,1.4
390,46.5,1000,1.4
391,46.5,1000,1.4
393,46.5,1000,1.4
394,45.5,999,1.4
395,46.0,1000,1.4
396,46.5,1000,1.4
397,45.5,1000,1.4
398,45.5,1000,1.4
400,46.5,1000,1.4
401,46.0,1000,1.4
402,46.0,1000,1.4
403,46.5,1000,1.4
404,46.0,1000,1.4
405,46.0,1000,1.4
406,46.0,1000,1.4
408,45.5,1000,1.4
409,46.0,1000,1.4
410,45.5,1000,1.4
411,45.5,1000,1.4
412,46.5,1000,1.4
413,46.5,1000,1.4
415,46.5,1000,1.4
416,46.5,1000,1.4
417,46.5,1000,1.4
418,46.5,1000,1.4
419,45.5,1000,1.4
420,46.0,1000,1.4
422,46.5,1000,1.4
423,46.5,1000,1.4
424,46.5,1000,1.4
425,46.0,1000,1.4
426,46.5,1000,1.4
427,46.5,1000,1.4
428,46.0,1000,1.4
430,46.5,1000,1.4
431,46.5,999,1.4
432,46.5,999,1.4
433,46.5,1000,1.4
434,46.0,1000,1.4
435,46.5,999,1.4
437,46.5,1000,1.4
438,46.5,1000,1.4
439,46.5,1000,1.4
440,46.5,1000,1.4
441,46.5,1000,1.4
442,46.5,1000,1.4
444,46.5,1000,1.4
445,46.0,1000,1.4
446,46.5,1000,1.4
447,46.5,1000,1.4
448,46.5,1000,1.4
449,46.5,1000,1.4
450,46.5,1000,1.4
452,46.5,1000,1.4
453,46.5,1000,1.4
454,46.5,1000,1.4
455,46.0,1000,1.4
456,46.5,1000,1.4
457,46.5,1000,1.4
459,46.5,1000,1.4
460,46.5,1000,1.4
461,46.0,1000,1.4
462,46.5,999,1.4
463,46.5,1000,1.4
464,47.1,1000,1.4
466,46.5,1000,1.4
467,46.5,1000,1.4
468,46.5,1000,1.4
469,46.5,1000,1.4
470,46.5,1000,1.4
471,47.1,1000,1.4
472,46.5,1000,1.4
474,47.1,1000,1.4
475,46.5,1000,1.4
476,46.5,1000,1.4
477,46.5,1000,1.4
478,46.5,1000,1.4
479,46.5,1000,1.4
481,46.5,1000,1.4
482,46.5,1000,1.4
483,46.5,999,1.4
484,46.5,999,1.4
485,46.5,1000,1.4
486,46.5,1000,1.4
488,46.5,1000,1.4
489,46.5,1000,1.4
490,46.5,1000,1.4
491,46.5,999,1.4
492,46.5,1000,1.4
493,46.5,1000,1.4
494,46.5,1000,1.4
496,47.1,1000,1.4
497,47.1,1000,1.4
498,47.1,1000,1.4
499,46.5,1000,1.4
500,47.1,1000,1.4
501,46.5,1000,1.4
503,46.5,1000,1.4
504,46.5,1000,1.4
505,46.5,1000,1.4
506,47.1,1000,1.4
507,47.1,1000,1.4
508,47.1,1000,1.4
510,46.5,1000,1.4
511,46.5,1000,1.4
512,46.5,999,1.4
513,46.5,1000,1.4
514,47.1,1000,1.4
515,46.5,1000,1.4
516,46.5,1000,1.4
518,47.1,1000,1.4
519,46.5,1000,1.4
520,47.1,1000,1.4
521,46.5,1000,1.4
522,46.5,1000,1.4
523,47.1,1000,1.4
525,46.5,1000,1.4
526,46.5,999,1.4
527,46.5,1000,1.4
528,46.5,1000,1.4
529,47.1,1000,1.4
530,46.5,1000,1.4
532,47.1,1000,1.4
533,46.5,1000,1.4
534,47.1,1000,1.4
535,46.5,999,1.4
536,46.5,1000,1.4
537,47.1,1000,1.4
538,47.1,1000,1.4
540,46.5,1000,1.4
541,46.5,1000,1.4
542,46.5,1000,1.4
543,46.5,1000,1.4
544,47.1,1000,1.4
545,46.5,1000,1.4
547,47.1,1000,1.4
548,46.5,1000,1.4
549,47.1,1000,1.4
550,47.1,1000,1.4
551,47.1,1000,1.4
552,46.5,1000,1.4
554,46.5,1000,1.4
555,46.5,1000,1.4
556,46.5,1000,1.4
557,47.1,1000,1.4
558,46.5,1000,1.4
559,46.5,1000,1.4
560,47.1,1000,1.4
562,47.1,1000,1.4
563,47.1,999,1.4
564,46.5,1000,1.4
565,47.1,1000,1.4
566,47.1,1000,1.4
567,46.5,1000,1.4
569,47.1,1000,1.4
570,47.1,1000,1.4
571,46.5,1000,1.4
572,47.1,1000,1.4
573,47.1,1000,1.4
574,46.5,999,1.4
576,46.5,1000,1.4
577,47.1,1000,1.4
578,47.1,1000,1.4
579,46.5,1000,1.4
580,47.1,1000,1.4
581,47.1,1000,1.4
582,47.1,1000,1.4
584,47.1,999,1.4
585,46.5,1000,1.4
586,46.5,1000,1.4
587,46.5,1000,1.4
588,47.1,1000,1.4
589,46.5,1000,1.4
591,47.1,1000,1.4
592,47.1,1000,1.4
593,47.1,1000,1.4
594,47.1,1000,1.4
595,47.1,1000,1.4
596,47.1,1000,1.4
598,46.5,1000,1.4
599,46.5,1000,1.4
600,47.1,1000,1.4
601,46.5,1000,1.4
602,46.5,1000,1.4
603,46.5,1000,1.4
604,47.1,1000,1.4
606,46.5,1000,1.4
607,46.5,1000,1.4
608,47.1,1000,1.4
609,46.5,1000,1.4
610,47.1,999,1.4
611,46.5,1000,1.4
613,46.5,1000,1.4
614,47.1,1000,1.4
615,47.1,1000,1.4
616,46.5,1000,1.4
617,47.1,1000,1.4
618,47.1,1000,1.4
620,47.1,1000,1.4
621,46.5,1000,1.4
622,46.5,1000,1.4
623,47.1,1000,1.4
624,47.1,1000,1.4
625,47.6,1000,1.4
626,47.1,1000,1.4
628,47.1,1000,1.4
629,47.1,1000,1.4
630,46.5,999,1.4
631,47.1,1000,1.4
632,47.1,1000,1.4
633,47.1,1000,1.4
635,47.1,1000,1.4
636,47.1,1000,1.4
637,47.1,1000,1.4
638,47.1,1000,1.4
639,47.1,1000,1.4
640,47.1,1000,1.4
642,46.5,999,1.4
643,47.1,1000,1.4
644,47.1,1000,1.4
645,47.1,1000,1.4
646,46.5,1000,1.4
647,46.5,1000,1.4
649,47.1,1000,1.4
650,47.1,1000,1.4
651,47.1,1000,1.4
652,47.1,1000,1.4
653,47.1,999,1.4
654,46.5,1000,1.4
655,46.5,1000,1.4
657,47.1,1000,1.4
658,46.5,999,1.4
659,47.1,1000,1.4
660,47.1,1000,1.4
661,47.1,1000,1.4
662,46.5,1000,1.4
664,47.1,1000,1.4
665,47.1,1000,1.4
666,47.1,1000,1.4
667,46.5,1000,1.4
668,47.1,999,1.4
669,47.1,1000,1.4
670,47.1,1000,1.4
672,47.1,1000,1.4
673,47.1,1000,1.4
674,47.1,1000,1.4
675,46.5,1000,1.4
676,47.6,1000,1.4
677,47.1,1000,1.4
679,47.1,1000,1.4
680,47.1,1000,1.4
681,47.1,1000,1.4
682,47.1,1000,1.4
683,46.5,1000,1.4
684,47.1,1000,1.4
686,47.1,1000,1.4
687,47.6,1000,1.4
688,47.1,1000,1.4
689,47.6,1000,1.4
690,47.1,1000,1.4
691,47.1,1000,1.4
693,47.1,999,1.4
694,47.1,999,1.4
695,47.6,1000,1.4
696,47.1,1000,1.4
697,47.1,1000,1.4
698,47.1,1000,1.4
699,47.1,999,1.4
701,46.5,1000,1.4
702,46.5,1000,1.4
703,47.1,1000,1.4
704,46.5,999,1.4
705,46.5,1000,1.4
706,47.1,1000,1.4
708,46.5,1000,1.4
709,46.5,1000,1.4
710,46.5,1000,1.4
711,46.5,1000,1.4
712,46.5,1000,1.4
713,47.1,1000,1.4
714,47.1,1000,1.4
716,47.1,1000,1.4
717,46.5,1000,1.4
718,47.1,1000,1.4
719,47.1,1000,1.4
720,47.1,1000,1.4
721,47.1,1000,1.4
723,47.1,1000,1.4
724,47.6,1000,1.4
725,47.1,1000,1.4
726,47.1,1000,1.4
727,47.1,1000,1.4
728,46.5,1000,1.4
730,47.1,1000,1.4
731,47.1,1000,1.4
732,47.6,1000,1.4
733,47.1,1000,1.4
